Customer_ID,Customer_Name,Email,Phone,Address,City,State,Zip,Country,Gender,Date_of_Birth,Account_Creation_Date,Last_Login_Date,Product_1,Product_2,Product_3,Product_4,Product_5,Order_Amount,Order_Date,Payment_Method,Loyalty_Points,Subscription_Status,Subscription_Plan,Last_Purchase_Date,Referral_Code,Customer_Service_Interactions,Customer_Satisfaction_Rating,Age,Occupation,Marital_Status
87073,Dylan Boyer,wferguson@hotmail.com,267.009.2549x351,"11056 Joanna Village
Gregorystad, OK 86008",New Joseshire,Illinois,90734,Fiji,Female,3/10/91,2/11/20,4/1/25,picture,event,majority,hair,prove,213.66,2/27/25,PayPal,68,Active,Platinum,1/5/25,CDVI2PGX,18,3,28,"Programmer, applications",Divorced
57458,Nancy Aguirre,richard52@sims.info,+1-991-808-3415x6890,"77470 Laura Burgs Suite 152
Lake Thomas, HI 76301",Darrellfort,South Dakota,79368,Guadeloupe,Other,9/28/88,10/2/21,4/2/25,near,yet,follow,player,line,363.49,2/18/25,PayPal,63,Inactive,Basic,2/17/25,DN1BEOKG,18,7,68,Forensic scientist,Married
24197,Martha Phillips,allenapril@tucker.biz,749.767.5985x66263,"428 Kirk Cliff Suite 885
Torresborough, CA 52529",Scottton,Indiana,15254,Slovakia (Slovak Republic),Male,6/15/98,5/15/23,4/2/25,act,stuff,know,forward,stage,294.99,3/22/25,Credit Card,330,Inactive,Platinum,1/25/25,VMIFOTJT,15,1,26,Contractor,Widowed
64694,Candice Carter,pglover@gmail.com,(602)832-4979x8786,"5363 Charles Squares Suite 761
South Jodi, MI 90249",Michaelport,Wyoming,81073,Gabon,Female,10/25/91,3/22/22,4/1/25,imagine,Republican,way,in,decision,244.45,1/29/25,Bank Transfer,5,Inactive,Premium,3/6/25,DYUOGAMS,3,4,21,Charity fundraiser,Widowed
86180,Jeffrey Ramos,simpsonmelissa@brock-harrington.com,010.124.9563,"43659 Miller Inlet Apt. 486
Pughville, NY 47961",Mariafurt,New York,11207,Cameroon,Female,7/17/59,12/25/24,4/2/25,actually,difficult,life,body,imagine,151.21,3/30/25,Credit Card,419,Inactive,Basic,1/13/25,MHQRW51X,11,3,20,Herpetologist,Divorced
44963,Johnny Rodriguez,laura70@gmail.com,265-821-9913,"1078 Brian Meadow Apt. 054
Mooreville, HI 89354",North Angelica,Minnesota,50325,Estonia,Female,8/13/78,12/3/22,4/2/25,speak,reach,reveal,shake,hear,491.15,2/7/25,Bank Transfer,942,Active,Basic,3/2/25,168LON6U,1,3,67,Research scientist (maths),Married
59586,Diana Anderson,jasonconway@lynch-johnson.net,202.023.4571x320,"PSC 0383, Box 6424
APO AA 09369",Clementsmouth,Vermont,97089,French Polynesia,Other,2/11/62,5/14/23,4/2/25,pick,blood,learn,president,instead,299.85,1/19/25,Credit Card,47,Inactive,Platinum,1/6/25,OM40XADJ,20,2,61,"Copywriter, advertising",Single
84345,Zachary Montoya,chaseberry@hotmail.com,001-082-265-4823x2178,"24200 Anthony Shore Suite 726
Sandraport, GA 97696",Ronaldland,Utah,91232,Croatia,Female,1/28/62,3/16/25,4/2/25,since,factor,also,old,scientist,319.79,3/13/25,PayPal,252,Inactive,Basic,1/12/25,EPM9R2KI,15,9,39,Commercial horticulturist,Married
83715,Scott Cross,garciatimothy@aguilar.info,073.185.0208x40354,"Unit 4744 Box 5078
DPO AP 37085",Grahambury,Virginia,32208,Bhutan,Male,3/13/95,12/18/22,4/1/25,happen,cultural,drop,indeed,six,276.24,1/18/25,Bank Transfer,999,Inactive,Premium,2/13/25,L1COM53O,15,7,60,Advertising account executive,Divorced
99215,Jaime Hill,kylielee@harris.com,620-317-5949,"438 Shepherd Views
North Timothy, UT 77685",Austinstad,Pennsylvania,42967,Costa Rica,Male,10/1/72,12/3/24,4/2/25,maybe,suggest,today,relate,decade,107.43,1/28/25,PayPal,336,Active,Platinum,1/2/25,N88EBQDD,17,9,52,"Programme researcher, broadcasting/film/video",Married
44896,Kenneth Wallace,hbaxter@hotmail.com,001-204-089-1686x9482,"411 Parker Plains Suite 087
North Manuelton, TX 94210",Lake Adam,Hawaii,12048,Ethiopia,Female,10/3/73,3/14/22,4/2/25,together,effort,act,staff,cut,453.92,3/15/25,Credit Card,798,Inactive,Gold,3/28/25,X2GO8E37,15,5,63,Purchasing manager,Divorced
19168,Edward James,carterrussell@hotmail.com,(931)449-6681,"USNV Wang
FPO AP 16223",New Kathryn,Alabama,34180,Congo,Male,12/11/95,6/19/23,4/1/25,development,list,subject,thought,movie,475.67,2/14/25,Credit Card,206,Inactive,Premium,1/22/25,HFBV58E0,8,10,28,Travel agency manager,Married
30558,Ryan Johnson,garciadebra@hotmail.com,8845887269,"04680 Murray Rapid
East Thomas, DC 57992",Powellberg,Maryland,69995,France,Other,2/3/98,7/12/20,4/2/25,collection,choose,I,doctor,raise,309.39,2/26/25,Bank Transfer,175,Inactive,Premium,3/23/25,CBBPIKAP,17,9,59,Site engineer,Married
1360,Helen Snyder,jacobsmith@hotmail.com,+1-369-502-0821x639,"27973 Evans Rest
Jessicatown, MD 22469",Wallacefort,Arizona,95513,Malaysia,Male,3/22/68,1/5/24,4/1/25,size,impact,lay,agree,suggest,189.76,3/26/25,Bank Transfer,241,Inactive,Premium,1/8/25,TV4WEP5L,18,1,28,"Programmer, applications",Divorced
60226,Vanessa Hoover,stevensbrittany@gmail.com,+1-293-736-9343x6530,"8635 Cantrell Rapid Suite 299
East Eric, TX 43019",New Kathleen,Washington,78600,Italy,Female,12/31/55,5/28/20,4/2/25,guess,sometimes,research,citizen,particularly,225.06,2/1/25,Bank Transfer,449,Active,Premium,2/26/25,XZ28ETYX,11,7,22,Sub,Single
84969,Stephen Smith,geralddunn@barnes-watkins.com,8694056839,"034 Hayes Ridge Suite 182
North Justin, MO 56828",West Angela,Kansas,41480,Norfolk Island,Female,2/28/75,2/5/22,4/1/25,top,run,scientist,kitchen,century,231.21,1/4/25,PayPal,697,Inactive,Basic,4/2/25,3AFNS6JZ,20,6,54,"Editor, commissioning",Widowed
47030,Michelle Sexton,kkaufman@gray.org,+1-793-290-8286x0074,"395 Kevin Manor Apt. 500
North Jackson, NV 44768",Lake John,Hawaii,8416,Tokelau,Male,4/10/74,3/26/20,4/1/25,financial,actually,win,despite,range,446.21,3/6/25,Credit Card,29,Active,Gold,4/2/25,AU4CDD3O,15,2,60,Environmental health practitioner,Single
59401,Megan Nguyen,smithpaul@gmail.com,754.338.1290x356,"317 Malone Passage
Port Austin, OK 26020",Lake Nicolestad,New York,6214,Saint Kitts and Nevis,Male,5/1/85,9/17/22,4/1/25,lose,much,hold,authority,everything,240.71,2/13/25,Bank Transfer,517,Active,Gold,2/1/25,0S9HZOYE,8,7,23,Chief Strategy Officer,Divorced
40911,Mr. Sean Thomas DVM,walshthomas@hotmail.com,+1-810-514-2156x34941,"257 Castro Key
Nicoletown, ME 76454",Johnland,New Mexico,7410,Papua New Guinea,Female,3/22/98,11/18/24,4/2/25,full,fish,new,professor,way,351.48,2/4/25,Credit Card,673,Inactive,Platinum,2/9/25,YX40CI1B,17,5,70,"Biochemist, clinical",Single
11215,Susan Smith,umorgan@yahoo.com,(544)500-9486,"7580 Anthony Island Apt. 878
New Jason, WY 99597",New Jamesview,Illinois,34773,Tanzania,Female,12/3/99,6/18/22,4/1/25,early,maintain,system,feeling,stock,381.26,2/11/25,Credit Card,171,Inactive,Premium,3/22/25,TYCX1G9C,12,8,42,"Editor, magazine features",Divorced
747,Kimberly Oliver,adrian05@gmail.com,(467)835-4976x7422,"612 Elliott Trail Apt. 472
New Marisaland, HI 96876",New Michael,Illinois,5912,Kuwait,Female,5/8/68,11/17/21,4/1/25,laugh,mission,pattern,from,ahead,78.32,2/5/25,Bank Transfer,147,Active,Premium,1/24/25,HTXZFAJJ,3,10,42,"Scientist, product/process development",Divorced
26067,Robert Terry,nicholeatkins@yahoo.com,(515)740-5100x395,"5001 Beverly Hollow
Sanchezstad, CA 95085",Medinaport,Kentucky,84190,Romania,Other,12/22/54,8/18/20,4/1/25,amount,forget,baby,establish,two,427.65,3/29/25,Credit Card,622,Active,Basic,3/6/25,BSUME4VU,9,6,42,Chief Marketing Officer,Widowed
4691,Tiffany Hunter,jonlee@yahoo.com,+1-089-576-2568x76666,"5530 Mcintyre Fields
Lake Andrew, NV 07352",Whitefurt,Indiana,31911,French Polynesia,Male,9/6/03,8/30/20,4/2/25,improve,send,assume,guy,training,87.02,3/14/25,PayPal,510,Inactive,Basic,3/15/25,2DDJ1VQY,2,4,37,Printmaker,Widowed
43643,Robert Barnes,evanssamantha@gmail.com,+1-056-772-1776x684,"PSC 5592, Box 0854
APO AP 13630",Woodsville,Louisiana,58817,Mauritius,Male,2/18/88,1/31/23,4/1/25,foot,firm,pattern,friend,challenge,169.77,3/15/25,Credit Card,415,Active,Gold,2/7/25,H0EVS2D7,11,5,66,Surgeon,Divorced
5064,Christopher Blackwell,vkirk@ward.biz,001-920-825-6865x5608,"92650 Wilson Lock
Geraldtown, WV 50539",Kellytown,Michigan,51400,Tuvalu,Male,8/30/91,3/18/23,4/1/25,wide,score,anything,trouble,see,251.42,2/19/25,PayPal,639,Inactive,Basic,3/24/25,1JFBK3Z4,18,8,21,Field trials officer,Married
91403,Emily Nelson,jacksongabriella@carr.com,972-523-6745,"4664 Patty Park Apt. 144
Avilatown, HI 62648",Edwardston,Nevada,51265,Bahrain,Male,10/16/60,7/15/21,4/2/25,issue,me,Congress,parent,join,121.63,1/15/25,Bank Transfer,748,Inactive,Gold,1/14/25,3WYWCSA3,10,7,32,Hydrographic surveyor,Divorced
86104,Susan Riggs,jessica46@gmail.com,150200800,"4009 Bradley Summit Suite 758
Lake Jamesburgh, OH 79989",East Joelton,Louisiana,21495,Iceland,Other,11/29/93,7/28/24,4/2/25,company,go,answer,write,agreement,111.25,2/20/25,PayPal,929,Inactive,Basic,1/10/25,WX07G4WF,3,5,23,Advertising copywriter,Single
79809,Mercedes Payne,tylerdeborah@gmail.com,001-026-839-7006x050,"57164 Denise Lights Apt. 161
Loriton, NJ 86692",Lake Johnburgh,Wisconsin,7737,Marshall Islands,Other,7/25/64,10/16/22,4/1/25,require,center,community,often,happy,106.38,3/26/25,PayPal,653,Active,Gold,1/22/25,23FITIMB,2,7,36,Translator,Divorced
4618,Marc Harris,gregoryrodriguez@yahoo.com,150.516.4923x1028,"Unit 5392 Box 2168
DPO AE 87505",West Danielle,Georgia,4533,Equatorial Guinea,Other,6/18/05,8/21/23,4/2/25,attorney,debate,piece,as,both,278.87,2/13/25,PayPal,218,Active,Platinum,3/8/25,0NG7NZQ9,13,8,44,Hydrographic surveyor,Married
61357,Michele Valencia,noahrich@moore.com,-10484,"266 Tammy Ridges Suite 313
Port Heather, MN 48740",New Teresa,South Dakota,28082,Jordan,Male,1/13/79,4/30/21,4/1/25,interesting,cause,age,my,feeling,421.51,2/3/25,Bank Transfer,61,Inactive,Premium,3/21/25,PT49KQEE,13,10,52,Dance movement psychotherapist,Divorced
33111,Robert Washington,duncanjennifer@duran.net,+1-291-386-1707x718,"364 Ashley Points Suite 134
New Dennisville, ID 83495",West Melissaview,Louisiana,48507,Swaziland,Other,3/27/69,3/18/24,4/1/25,win,my,agency,yes,to,414.28,2/17/25,Bank Transfer,521,Inactive,Basic,3/11/25,LTALMWGN,0,6,66,"Engineer, electronics",Single
98954,Victor Hutchinson,aliciashea@yahoo.com,-7730,"7704 Gonzales Ways
Paigemouth, NJ 74221",Lake Derrickchester,California,60109,Malaysia,Other,8/8/62,3/26/22,4/1/25,want,activity,unit,claim,house,296.59,3/17/25,Bank Transfer,645,Active,Platinum,2/11/25,DNUSDW36,19,9,64,Ranger/warden,Married
74861,Kenneth Thomas,jon63@simpson.com,+1-164-330-3490x5325,"09040 Mcmillan Plain
New Ronaldfurt, CA 97955",Wilsonstad,Maryland,53851,Palestinian Territory,Other,1/7/80,10/23/24,4/2/25,prepare,plan,star,course,likely,108.47,3/6/25,Credit Card,119,Active,Gold,2/9/25,YXCZ7OW8,11,2,26,"Sound technician, broadcasting/film/video",Single
28491,Jonathan Hernandez,carterstephanie@yahoo.com,001-656-393-4908x9986,"67225 Stanley Union Apt. 294
Katherineshire, DC 73208",Garciaberg,Colorado,52736,Eritrea,Other,2/9/00,3/14/21,4/2/25,seven,activity,minute,particular,production,186.71,1/20/25,Bank Transfer,650,Inactive,Premium,1/21/25,4WNBCOI2,20,4,63,Air broker,Single
98567,Andrea Parker,uramsey@richardson.com,548.567.5871,"081 Allen Neck Apt. 659
Kathleenhaven, MI 74439",Carterton,New Hampshire,51029,Myanmar,Female,1/16/76,11/12/22,4/2/25,against,data,particularly,day,model,243.67,1/23/25,Credit Card,941,Inactive,Platinum,1/27/25,3YXYP26B,20,6,54,Ambulance person,Single
7071,Amanda Smith,stevenhorne@lopez-lucas.com,+1-855-061-6834x3701,"Unit 9348 Box 2710
DPO AA 12365",Chambersfurt,Washington,60562,Kyrgyz Republic,Male,10/7/59,4/21/20,4/1/25,born,find,mission,investment,camera,280.59,2/16/25,PayPal,526,Active,Premium,2/5/25,3YDBEAHA,17,8,61,Musician,Married
31217,Karen Smith,nellis@yahoo.com,(757)885-3524,"52678 Edgar Cliff
Dyermouth, NC 86912",Francoport,Virginia,80085,Lebanon,Other,7/3/55,9/11/23,4/2/25,policy,watch,central,green,back,336.42,1/14/25,Bank Transfer,499,Active,Basic,2/3/25,0WBSYSNB,20,9,53,Tour manager,Married
18747,Cassie Lopez,morganwilliams@gmail.com,247.540.3190,"65298 Julie Shoal Suite 843
Nicoleshire, ND 70954",Port Kristinaview,Maryland,18132,Philippines,Female,12/10/78,9/28/22,4/2/25,race,again,student,assume,forget,314.34,2/9/25,Bank Transfer,325,Inactive,Gold,1/14/25,HJ1JZWF3,2,7,37,Maintenance engineer,Widowed
87759,Debra Stafford,melissa60@gmail.com,+1-723-946-7119x13294,"652 Christopher Mills
Wallston, SD 79073",Port Jacksonview,Wyoming,87793,Nicaragua,Female,4/9/58,6/23/21,4/1/25,fine,him,trade,I,situation,53.03,2/11/25,Bank Transfer,819,Active,Platinum,3/19/25,YOIEVHGT,2,4,46,Biomedical engineer,Married
17951,Joann Oconnell,batesjack@hotmail.com,872.860.8276x827,"PSC 5986, Box 7177
APO AA 61636",Murphychester,Oklahoma,73956,India,Other,3/20/75,4/30/20,4/2/25,time,address,black,conference,political,292.4,3/2/25,Credit Card,182,Inactive,Gold,1/25/25,PI18JK8R,3,3,58,"Engineer, land",Divorced
5202,Mrs. Jessica Reese,georgetraci@yahoo.com,273-160-7448x08905,"42823 Romero Overpass Apt. 860
Frankport, MI 76003",Greenside,Maryland,48096,Yemen,Other,6/1/87,8/13/22,4/1/25,theory,today,produce,wall,medical,238.93,1/25/25,Bank Transfer,550,Active,Platinum,1/22/25,TC8ENPZQ,19,9,69,Chartered management accountant,Divorced
91261,Sylvia Alexander,njones@yahoo.com,992-204-5608,"23568 Jesse Curve Apt. 997
Mcfarlandshire, RI 54453",Stephanieton,Oklahoma,30962,Mauritania,Male,4/2/67,2/15/25,4/2/25,exist,option,consumer,former,something,124.9,3/2/25,Credit Card,623,Inactive,Basic,1/27/25,XWUISJW9,14,2,25,"Horticulturist, amenity",Divorced
35483,Karina Harris,denise21@johnson.com,(110)489-9903,"7092 Washington Estate
Barbarachester, WY 57481",North Brandon,Idaho,59903,Kuwait,Other,4/14/70,7/2/24,4/2/25,call,plant,skin,model,other,138.64,2/26/25,PayPal,82,Inactive,Gold,3/24/25,VPXF5L9M,9,5,38,Osteopath,Widowed
53389,Sherri Gentry,warrenjessica@rogers.com,(203)812-8267,"081 Julie Common
New Vernonview, KS 11676",Frankport,Michigan,4904,Panama,Female,11/10/82,6/14/22,4/1/25,do,without,side,could,agreement,120.28,3/17/25,Bank Transfer,93,Active,Premium,2/28/25,E4DV9JNZ,16,4,61,Water quality scientist,Married
98822,Renee Myers,scott09@jimenez.com,-6858,"15854 Davis Bridge
Blaketown, NY 37742",Valerieton,Georgia,16835,Denmark,Male,11/8/98,1/12/22,4/1/25,could,suffer,town,study,industry,195.32,2/22/25,Bank Transfer,964,Inactive,Platinum,2/7/25,FUAYPGI6,1,1,60,Interpreter,Single
51483,Robert Crawford,andrewsapril@yahoo.com,005-354-0691,"2208 Trujillo Forest Apt. 961
Lake Kelly, MI 73971",North Riley,Tennessee,56867,Rwanda,Male,7/27/96,12/8/20,4/2/25,food,part,alone,to,available,217.47,1/12/25,Credit Card,619,Active,Platinum,2/13/25,K2A84AEJ,8,9,32,Patent examiner,Married
1190,Daniel Bryant,kingjoshua@yahoo.com,3261723498,"USNS Singleton
FPO AA 06555",Port Patrickfurt,Rhode Island,14259,Namibia,Other,7/3/85,12/22/20,4/1/25,year,first,model,born,perform,264.81,1/6/25,Credit Card,218,Inactive,Premium,1/4/25,EMJ1QO75,15,9,52,Geoscientist,Divorced
73675,Robert Lewis,kingdonna@hotmail.com,251-422-0093,"Unit 3820 Box 0496
DPO AP 76515",Masonborough,Washington,65716,Gibraltar,Female,1/26/81,11/17/22,4/2/25,final,staff,some,create,surface,499.81,2/28/25,Bank Transfer,637,Inactive,Platinum,1/8/25,94H5B1JM,9,7,29,Art therapist,Married
696,Tracy Underwood,garzabilly@gonzales-garcia.biz,775.489.0886,"633 Ryan Oval
Port Melissaton, KS 05474",Ashleyfurt,Mississippi,92906,Nepal,Other,5/11/64,5/27/23,4/2/25,cost,sometimes,create,notice,unit,380.14,1/11/25,PayPal,366,Inactive,Premium,2/25/25,HSVGG50A,19,5,33,Science writer,Single
25263,Carlos Taylor,mmiller@mitchell.org,001-646-811-5181x195,"883 Victor Prairie
Port Mariaburgh, AR 43160",Port Michaelshire,New York,44599,Swaziland,Other,5/4/04,5/18/24,4/2/25,large,agreement,should,hair,represent,394.64,2/8/25,PayPal,114,Inactive,Basic,3/30/25,UUUD263L,1,1,57,Nutritional therapist,Widowed
16849,Joshua Thomas,lmartin@trevino-hebert.biz,469-532-3093,"4962 Michelle Stravenue Apt. 682
Bakerland, AK 71290",East Sarah,Kentucky,63114,Argentina,Female,7/3/65,11/13/20,4/2/25,parent,find,situation,hundred,like,230.48,2/22/25,Bank Transfer,435,Active,Platinum,1/27/25,D93HPPTK,4,7,70,Radiation protection practitioner,Divorced
70772,Heather Johnson,allison07@hunt.com,001-954-915-4875,"216 Martha Parks Suite 315
New Stephen, KY 01001",South Jennifer,Ohio,49157,Serbia,Male,2/17/78,1/21/25,4/1/25,table,season,season,public,gun,269.74,1/3/25,Bank Transfer,298,Active,Gold,1/5/25,161LIZUM,6,2,62,Broadcast journalist,Married
49976,Carly Garcia,marquezlisa@allen.info,001-486-320-0978x44707,"Unit 6227 Box 7755
DPO AE 64391",Anthonymouth,Vermont,30132,Martinique,Other,4/5/77,5/5/20,4/1/25,ground,stock,floor,smile,into,302.6,3/9/25,PayPal,495,Active,Premium,2/17/25,FNM3P4SG,18,4,56,Community pharmacist,Widowed
11930,Lawrence Mcdonald,joshuawallace@hotmail.com,+1-209-499-3636x498,"7080 Weiss Mountains
New Crystalchester, NE 90015",Staceyfort,Wisconsin,17424,Bouvet Island (Bouvetoya),Male,1/24/72,8/10/22,4/2/25,leader,have,almost,young,respond,190.25,2/5/25,PayPal,430,Inactive,Gold,1/19/25,EV0CBRS6,12,2,30,"Geologist, wellsite",Divorced
72837,Michele Stone,hstewart@gmail.com,+1-522-962-1969x6244,"5703 Parker Junction
Port Samanthafurt, PA 61108",Port Caitlin,Vermont,72570,Maldives,Other,4/5/71,2/23/23,4/2/25,especially,Congress,security,well,perform,487.44,2/2/25,Bank Transfer,654,Active,Platinum,3/11/25,9O7QW5R3,1,5,23,Police officer,Single
98419,Erika Russo,alexandra46@gmail.com,+1-917-079-8125x16921,"2700 Bryant Gateway Apt. 245
Weberhaven, OK 43958",New Brendaton,Illinois,41421,Canada,Other,4/11/73,3/14/23,4/2/25,matter,approach,beyond,third,hair,107.05,2/15/25,Credit Card,453,Active,Gold,2/11/25,9LPT7A9T,7,9,48,English as a foreign language teacher,Widowed
95202,Christopher Hill MD,justintran@warren.com,737-314-1863x3177,"1341 David Estate Suite 027
Jonesland, PA 91317",Lake Robertside,Louisiana,71272,Ecuador,Female,12/2/04,10/24/21,4/2/25,wall,lay,low,home,evidence,27.88,2/12/25,Credit Card,303,Inactive,Premium,2/28/25,1ULGN74Q,4,8,59,"Engineer, mining",Divorced
37891,Sandra Gill,mendozatammy@yahoo.com,(750)404-6413x10453,"6488 Theresa Ferry
West Lisamouth, SD 62779",Lake William,Massachusetts,73414,Equatorial Guinea,Other,1/28/76,1/12/23,4/1/25,agent,animal,better,eight,sign,291.87,1/27/25,Credit Card,874,Active,Basic,2/11/25,P3EVPDNK,13,9,58,Press sub,Single
28816,Jessica Henry,hayesjulie@brown-rhodes.net,863.264.0882x62688,"215 Hurley Row Suite 290
Lake Drew, SC 62763",Michaelberg,Ohio,42123,Iraq,Other,8/30/76,1/11/22,4/2/25,treatment,final,possible,total,enjoy,232.05,3/29/25,Credit Card,441,Active,Premium,2/8/25,NRVAHS15,18,4,66,Web designer,Widowed
25118,Christian Finley,julie85@gmail.com,(489)302-7378x20236,"5116 House Track
South Juliemouth, VT 55252",Carterton,Rhode Island,23875,China,Male,4/16/58,11/14/23,4/1/25,heart,tree,law,hand,movement,100.65,3/22/25,PayPal,492,Active,Premium,1/19/25,V4WNQK0C,6,6,37,"Pilot, airline",Married
